"","Site","Quadrat","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Shell_gDW","Rhizome_gDW","Frac_Shell","Shell_Density_g_per_ml","Frac_Rhizome","Rhizome_Density_g_per_ml","Frac_OLOI","Frac_ILOI","OLOI","ILOI","Sample_Weight_gDW","Sediment_Weight_gDW","Sample_Density_g_per_ml","Sediment_Densit_g_per_ml","Organic_Content_gDW","Inorganic_Content_gDW","Organic_Density_g_per_ml","Inorganic_Density_g_per_ml","Percent_Carbon","Factor"
"235","SJB02",1,20,2,"LOI alysis ","Y",2,0.0515,0.2914,0.00129351484402471,0.00127023157683227,0.00731903350580198,0.00718729090269754,0.026,0.012,2.573,1.165,39.814,39.477,0.982,0.974,1.016,0.46,0.025,0.011,0.819345104,"Seagrass"
"236","SJB02",1,21,1,"LOI alysis ","Y",3.2,1.4335,0.2921,0.0171810391322586,0.0220948163240846,0.00350092886678253,0.00450219452268233,0.021,0.01,2.08,1,83.435,81.679,1.286,1.259,1.699,0.817,0.026,0.013,0.622049658,"Seagrass"
"237","SJB10",3,20,1,"LOI alysis ","Y",1.8,3.9167,0,0.0821627858191735,0.10738676106566,0,0,0.014,0.017,1.434,1.654,47.67,43.745,1.307,1.199,0.627,0.724,0.017,0.02,0.363631232,"Seagrass"
"238","SJB10",3,19,2,"LOI alysis ","Y",2,1.4163,0.0122,0.0321681657127283,0.0349346279640229,0.000277096393204325,0.000300926683019897,0.01,0.013,0.974,1.315,44.028,42.594,1.086,1.051,0.415,0.56,0.01,0.014,0.179680338,"Seagrass"
"239","SJB10",3,18,3,"LOI alysis ","Y",2,1.2683,0.0262,0.0271439272338149,0.0312969481005885,0.000560727661851257,0.0006465189941145,0.01,0.017,1.023,1.67,46.725,45.427,1.153,1.121,0.465,0.759,0.011,0.019,0.199144005,"Seagrass"
"240","SJB10",3,16,5,"LOI alysis ","Y",2,0.8849,0.034,0.020061210609839,0.0218265971435049,0.000770800272047155,0.000838630695987305,0.016,0.012,1.63,1.151,44.11,43.128,1.088,1.064,0.703,0.497,0.017,0.012,0.441956147,"Seagrass"
"241","SJB10",3,15,6,"LOI alysis ","Y",2,0.9098,0.0152,0.0210748204771832,0.0224446838082001,0.000352096363215196,0.000374982626824183,0.019,0.012,1.851,1.247,43.17,42.248,1.065,1.042,0.782,0.527,0.019,0.013,0.530463188,"Seagrass"
"242","SJB10",3,14,7,"LOI alysis ","N",2,0.2518,0,0.00631631757180484,0.00620894017308416,0,0,0.025,0.012,2.506,1.229,39.865,39.57,0.983,0.976,0.992,0.486,0.024,0.012,0.792473054,"Seagrass"
"243","SJB10",3,11,10,"LOI alysis ","N",2,5.0035,0,0.110794951284322,0.123425575730735,0,0,0.024,0.018,2.418,1.773,45.16,40.126,1.114,0.99,0.97,0.711,0.024,0.018,0.75721921,"Seagrass"
"244","SJB10",3,6,15,"LOI alysis ","N",2,0.9869,0,0.0207619808978836,0.0243538035932175,0,0,0.025,0.018,2.515,1.831,47.534,46.499,1.173,1.147,1.169,0.852,0.029,0.021,0.795970457,"Seagrass"
"245","SJB10",3,1,20,"LOI alysis ","N",2,0.9594,0,0.0236258865248227,0.0236731382978723,0,0,0.018,0.027,1.788,2.691,40.608,39.645,1.002,0.978,0.709,1.067,0.017,0.026,0.505253553,"Seagrass"
"246","STCH02",2,10,1,"LOI alysis ","Y",2,1.3645,0.0177,0.0228670543480082,0.0336603040002681,0.000296626501985889,0.000436634210923229,0.018,0.081,1.833,8.142,59.671,58.258,1.472,1.437,1.068,4.743,0.026,0.117,0.523061082,"Seagrass"
"247","STCH02",2,9,2,"LOI alysis ","Y",2,3.3591,0.3408,0.0769676695002635,0.0828941800517838,0.00780881240977935,0.00841009096533236,0.024,0.084,2.379,8.391,43.643,39.939,1.077,0.985,0.95,3.352,0.023,0.083,0.741620893,"Seagrass"
"248","STCH02",2,8,3,"LOI alysis ","Y",2,1.8224,0.3178,0.061956891276263,0.0449807030665669,0.0108043788672061,0.00784397905759162,0.037,0.094,3.73,9.371,29.414,27.068,0.726,0.668,1.01,2.537,0.025,0.063,1.281968622,"Seagrass"
"249","STCH02",2,6,5,"LOI alysis ","Y",2,0.5816,0.3678,0.0202337879209574,0.0143457556359588,0.0127957138881158,0.00907216114667409,0.051,0.103,5.066,10.322,28.744,27.841,0.709,0.687,1.41,2.874,0.035,0.071,1.816400614,"Seagrass"
"250","STCH02",2,5,6,"LOI alysis ","Y",2,1.6636,0.3472,0.0598632601655272,0.0410661964735516,0.0124937027707809,0.00857068010075567,0.057,0.109,5.729,10.939,27.79,23.316,0.686,0.575,1.336,2.55,0.033,0.063,2.081576421,"Seagrass"
"251","STCH02",2,4,7,"LOI alysis ","N",2,0.4505,0,0.0158097911914371,0.0111142832075803,0,0,0.061,0.103,6.101,10.328,28.495,28.036,0.703,0.692,1.71,2.895,0.042,0.071,2.230332529,"Seagrass"
"252","STCH02",2,1,10,"LOI alysis ","N",2,1.9808,0,0.0664140821458508,0.0488807644593462,0,0,0.073,0.144,7.294,14.366,29.825,27.829,0.736,0.687,2.03,3.998,0.05,0.099,2.707510632,"Seagrass"
"253","SJBB",3,16,1,"LOI alysis ","Y",3.1,0,0,0,0,0,0,0.004,0.006,0.394,0.581,81.486,81.486,1.297,1.297,0.321,0.474,0.005,0.008,0.01,"Control"
"254","SJBB",3,15,2,"LOI alysis ","Y",2,0.2152,0,0.0040967846332502,0.00530943288469226,0,0,0.004,0.014,0.407,1.406,52.529,52.318,1.296,1.291,0.213,0.736,0.005,0.018,0.01,"Control"
"255","SJBB",3,14,3,"LOI alysis ","Y",2,0.5344,0,0.00979993031486677,0.0131809062734958,0,0,0.01,0.008,0.963,0.751,54.531,54.007,1.345,1.332,0.52,0.406,0.013,0.01,0.175215696,"Control"
"256","SJBB",3,12,5,"LOI alysis ","Y",2,0.2003,0,0.00343291000394193,0.00493995749567244,0,0,0.012,0.008,1.194,0.76,58.347,58.119,1.439,1.434,0.694,0.442,0.017,0.011,0.267589665,"Control"
"257","SJBB",3,11,6,"LOI alysis ","Y",2,0.7464,0,0.0133150186417397,0.0184146707815259,0,0,0.015,0.007,1.506,0.724,56.057,55.31,1.383,1.364,0.833,0.401,0.021,0.01,0.392351294,"Control"
"258","SJBB",3,10,7,"LOI alysis ","N",2,0.5208,0,0.0096095652815706,0.0128479887814599,0,0,0.01,0.007,1.006,0.731,54.196,53.677,1.337,1.324,0.54,0.392,0.013,0.01,0.192325235,"Control"
"259","SJBB",3,7,10,"LOI alysis ","N",2,0.2515,0,0.0046493141568381,0.00620218508522202,0,0,0.004,0.015,0.366,1.499,54.094,53.84,1.334,1.328,0.197,0.807,0.005,0.02,0.01,"Control"
"260","SJBB",3,2,15,"LOI alysis ","N",2,0.424,0,0.0082046518828128,0.0104609311505863,0,0,0.005,0.03,0.495,2.996,51.678,51.248,1.275,1.264,0.254,1.535,0.006,0.038,0.01,"Control"
"261","SJBB",3,1,16,"LOI alysis ","N",2,0,0,0,0,0,0,0.005,0.018,0.485,1.812,53.74,53.74,1.326,1.326,0.261,0.974,0.006,0.024,0.01,"Control"
"262","SJBB",2,16,1,"LOI alysis ","Y",2.2,0.1897,0,0.00278479154433353,0.00425516147974163,0,0,0.004,0.006,0.387,0.612,68.12,67.935,1.528,1.524,0.263,0.415,0.006,0.009,0.01,"Control"
"263","SJBB",2,15,2,"LOI alysis ","Y",2,0,0,0,0,0,0,0.003,0.008,0.316,0.769,56.383,56.383,1.391,1.391,0.178,0.434,0.004,0.011,0.01,"Control"
"264","SJBB",2,14,3,"LOI alysis ","Y",2,0,0,0,0,0,0,0.007,0.009,0.736,0.894,55.377,55.377,1.366,1.366,0.408,0.495,0.01,0.012,0.08458308,"Control"
"265","SJBB",2,12,5,"LOI alysis ","Y",2,0.2335,0,0.00405170917924692,0.00576153045288912,0,0,0.003,0.007,0.321,0.679,57.63,57.394,1.422,1.416,0.184,0.389,0.005,0.01,0.01,"Control"
"266","SJBB",2,11,6,"LOI alysis ","Y",2,0.2319,0,0.00411082748351415,0.00572227185705169,0,0,0.003,0.007,0.294,0.65,56.412,53.697,1.392,1.325,0.158,0.349,0.004,0.009,0.01,"Control"
"267","SJBB",2,10,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.003,0.006,0.271,0.565,55.392,55.392,1.366,1.366,0.15,0.313,0.004,0.008,0.01,"Control"
"268","SJBB",2,7,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.004,0.008,0.385,0.769,50.653,50.653,1.25,1.25,0.195,0.39,0.005,0.01,0.01,"Control"
"269","SJBB",2,2,15,"LOI alysis ","N",2,0.7878,0,0.0145235329904319,0.0194324871411979,0,0,0.004,0.01,0.426,1.041,54.243,53.421,1.338,1.318,0.228,0.556,0.006,0.014,0.01,"Control"
"270","SJBB",2,1,16,"LOI alysis ","N",2,4.9008,0,0.0967906306163964,0.120891497639879,0,0,0.005,0.01,0.468,1.037,50.633,45.736,1.249,1.128,0.214,0.474,0.005,0.012,0.01,"Control"
